,QuestionId,Answer_Source,answer,misconception_source,MisconceptionId,ConstructName,QuestionText,MisconceptionName
1106,1106,AnswerAText,\( \sin (\theta) \),MisconceptionAId,1819.0,Recall the formulae for the trigonometric ratios,"\(
\bigstar=\frac{\text { Hypotenuse }}{\text { Opposite }}
\)

What should replace the star?",Confuses order of sides in a trigonometric ratio
1108,1108,AnswerAText,\( 0.25 \),MisconceptionAId,1847.0,"Calculate the whole amount, given a fraction of the amount","Here is a number card 
\( \frac{1}{6} \) of \( A \) is \( 12 \) 
What is \( \frac{1}{8} \) of \( A \) ? ![A pink rounded rectangle with a capital A typed inside]()",Confuses the part and the whole in fraction of an amount problems
1109,1109,AnswerAText,![The square numbers represented by green circles arranged into squares.](),MisconceptionAId,142.0,Count a number of objects,"\[
1,3,6,10, \ldots \text { ? }
\]

Which pattern matches the sequence above?","When given a linear sequence, cannot match it to a visual pattern"
1110,1110,AnswerAText,"Only
Tom",MisconceptionAId,557.0,Raise a positive integer to a positive integer power,"Tom and Katie are arguing about powers.
\( m \) and \( n \) are integers

Tom says there is no value of \( m \) that means \( 2^{m} \) ends in \( 0 \).
Katie says there is no value of \( n \) that means \( 5^{n} \) ends in \( 0 \).
Who is correct?",Assumes a fact without considering enough examples
1111,1111,AnswerAText,\( £ 28.80 \),MisconceptionAId,1028.0,Use direct proportion to solve unitary missing amounts in problems (e.g. recipes),"Eight bottles of water cost \( £ 3.60 \).

How much does one bottle of water cost?",Multiplies up without finding unit price in proportion question
1112,1112,AnswerAText,\( 10 \),MisconceptionAId,1313.0,Calculate percentage of an amount mentally where the percent is greater than 100,What is \( 120 \% \) of \( 50 \) ?,Found the percentage but forgot to add to 100%
1116,1116,AnswerAText,"![2 function machines both with 4 rectangles in a row and joined by arrows pointing from left to right. The first function machine has ""p"" written inside the first rectangle on the left and ""input"" written above it; it has ""✕ 2"" written inside the next rectangle, ""−3"" written inside the next rectangle and the final rectangle on the right has ""output"" written above it and ""2p − 3"" written inside it.
The first function machine has ""p"" written inside the first rectangle on the left and ""input"" written above it; it has ""✕ 2"" written inside the next rectangle, ""−3"" written inside the next rectangle and the final rectangle on the right has ""output"" written above it and ""2(p − 3)"" written inside it.
]()",MisconceptionAId,77.0,"For a given algebraic input, find the output of a function machine",Which of the following pairs of function machines are correct?,"Does not follow the arrows through a function machine, changes the order of the operations asked."
1118,1118,AnswerAText,Only Tom,MisconceptionAId,293.0,Identify whether two shapes are similar or not,Tom and Katie are discussing similarity. Who is correct? Tom says these two rectangles are similar ![Two rectangles of different sizes. One rectangle has width 2cm and height 3cm. The other rectangle has width 4cm and height 9cm. ]() Katie says these two rectangles are similar ![Two rectangles of different sizes. One rectangle has width 4cm and height 6cm. The other rectangle has width 7cm and height 9cm. ](),Does not understand that similar shapes sides must all have the same scale factor
1119,1119,AnswerAText,\( 5070 \mathrm{~m} \),MisconceptionAId,549.0,Convert between cm and m,How should you write \( 5 \) kilometres and \( 7 \) centimetres in metres?,Incorrectly converted cm to m
1120,1120,AnswerAText,\( 3 m-7 \),MisconceptionAId,2143.0,Multiply a single term over a bracket where the term on the outside contains a letter and the inside contains a linear expression,Multiply out the brackets: \( m(2 m-7) \),Adds instead of multiplying when expanding bracket
1121,1121,AnswerAText,\( 10 \),MisconceptionAId,1898.0,Add decimals with the same number of decimals places,\( 0.8+0.2= \),"When adding decimals, just adds the digits and ignores place value"
1124,1124,AnswerAText,\( 2 \),MisconceptionAId,2389.0,For a given input find the output of a function machine,Here is a function machine Input \( \longrightarrow \times 5 \longrightarrow-1 \quad \longrightarrow \) Output What is the output when the input is \( 9 ? \),"When using a function machine, confuses the input and the output."
1125,1125,AnswerAText,![128 multiplied by 26 set out to perform long multiplication. 26 is written under 128. The 2 of 26 is under the 1 of 128 and the 6 of 26 is under the 2 of 128.](),MisconceptionAId,980.0,Multiply 3 digit integers by 2 digit integers using long multiplication,"What is a correct way to set up this problem to solve it using long multiplication?
\[
128 \times 26
\]",Hasn't lined up the place value columns when writing out the calculation
1126,1126,AnswerAText,"\[
x=103\degree\]
as alternate angles",MisconceptionAId,1528.0,Find missing angles on parallel lines using more than one angle fact,Jane is trying to find the angles \( x \) and \( y \). Here are her workings. Which step is incorrect? ![A diagram showing parallel lines and two transversals. Some angles are given and one is labelled x](),Does not know the meaning of alternate
1128,1128,AnswerAText,\( -1.5 \),MisconceptionAId,2109.0,Identify where negative non-integers lie on a number line,"Here is a number line: ![A horizontal number-line with 13 vertical, equally spaced, dashes representing the position of numbers. The 1st dash is labelled with ""-6"", the 3rd dash is labelled ""-4"", the 5th dash is labelled ""-2"", the 7th dash is labelled ""0"", the 9th dash is labelled ""2"", the 11th dash is labelled ""4"" and the 13th dash is labelled ""6""    A red arrow, labelled with a question mark is pointing halfway between the 6th and 7th dashes. ]() Which of the following numbers could be indicated by the arrow?",Counts on in the wrong direction on a number line
1131,1131,AnswerAText,Miran is correct because division is commutative,MisconceptionAId,2359.0,Understand the non-commutativity of division,"Miran says the following:

""It doesn't matter if you do \( \mathbf{7} \div \mathbf{1 4 0} \) or \( \mathbf{1 4 0} \div \mathbf{7} \), you get the same answer""

What do you think?",Believes division is commutative 
1132,1132,AnswerAText,"Only
Tom",MisconceptionAId,686.0,Identify a unit of area,"Tom and Katie are discussing units of area
Tom says centimetres is a unit of area
Katie says \( \mathrm{mm}^{2} \) is a unit of area
Who is correct?",Does not know units of area should be squared
1133,1133,AnswerAText,\( 4.5 \),MisconceptionAId,2344.0,"Solve comparison, sum and difference problems using information presented in pictograms","This pictogram shows the different types of music Bob has in his music collection.

How many more Pop CDs does Bob have than Rock CDs? ![A pictogram showing the number of CDs Bob has in his musical collection. Pop has 3 and a half symbols, rock has 2 symbols, blues has 2 and a quarter symbols, jazz has 3 and a quarter symbols and classical has 1 and three-quarter symbols. Each symbol represents 4 CDs.]()","When counting partial symbols on pictogram, uses the fraction rather than the amount it represents"
1134,1134,AnswerAText,\( -18 \),MisconceptionAId,2109.0,Carry out addition problems involving one negative integer,"What number belongs in the box?
\(
(-11)+7=
\square\)",Counts on in the wrong direction on a number line
1137,1137,AnswerAText,BCA,MisconceptionAId,1942.0,Label angles using correct 3-letter notation (e.g. angle ADB),Which of the following correctly describes the marked angle? ![An image of square ABCE with various triangles attached to it.  The marked angle is between the lines CE and BC.](),Chooses the wrong 3 letters to describe an angle
1138,1138,AnswerAText,\( \frac{9 y^{2}}{6 y+3} \),MisconceptionAId,1825.0,Simplify an algebraic fraction by factorising the denominator,Simplify the following: \( \frac{9 y^{3}}{6 y^{2}+3 y} \),Does not fully simplify fraction
1140,1140,AnswerAText,\( 17 \mathrm{~cm}^{2} \),MisconceptionAId,828.0,Calculate the area of a rectangle where the dimensions are given in the same units,"What is the area of this rectangle? ![A rectangle, 5cm by 12cm]()",Adds when calculating area instead of multiplying
1141,1141,AnswerAText,\( \frac{1}{2} \),MisconceptionAId,318.0,Convert percentages containing 1 decimal place to fractions,How do you write \( 0.5 \% \) as a fraction?,"Assumes that converting a decimal percentage to a fraction, they can just convert the decimal to a fraction, instead of writing the decimal over 100."
1142,1142,AnswerAText,\(\bigstar =-2 \),MisconceptionAId,103.0,Complete the square for expressions that end up in the form (x + a)² + b,"When Aaron completes the square, what should replace the star? \( p^{2}-p-1 \equiv(p \bigstar )^{2} \triangle \)","When completing the square, believes the constant in the bracket is double the coefficient of x"
1143,1143,AnswerAText,An octagon,MisconceptionAId,764.0,Given the number of sides of a polygon identify the name,"If you continue to join up the intersections of the curves with straight lines, which of the following regular polygons could you have constructed? ![A circle has been intersected by curves at 5 equally spaced intervals about its circumference]()",Confuses octagon and pentagon
1145,1145,AnswerAText,\( 3 \sqrt{5} \),MisconceptionAId,937.0,Add surds in the form va + vb,"\(
\sqrt{3}+\sqrt{5}
\)

Simplify, if possible.","When adding or subtracting surds, simplifies the surds correctly but puts the digits in the answer the wrong way round"
1146,1146,AnswerAText,\( x^{3}+9=8 \),MisconceptionAId,220.0,Use area to write algebraic expressions,"The area of the rectangle on the right is \( 8 \mathrm{~cm}^{2} \).

Which of the following equations can we write from the information given? ![A rectangle with the short side labelled \(x\) and the opposite side labelled \(x^2 + 9\).]()",Only multiplies the first term in the expansion of a bracket
1149,1149,AnswerAText,Equation,MisconceptionAId,835.0,Recognise and name a formula,"Which of the following is the most appropriate word to describe: \( V=\frac{1}{3} \pi r^{2} h \) ![A cone, with the dimensions labelled h and r]()",Confuses a formula with an equation
1150,1150,AnswerAText,\( v=r F^{2} \),MisconceptionAId,1214.0,Rearrange formulae to change the subject where the subject appears once and two steps are needed,"Rearrange the following equation to make \( v \) the subject
\(F=\frac{v^{2}}{r}\)","When solving an equation, uses the same operation rather than the inverse."
1151,1151,AnswerAText,\( 0.1 \),MisconceptionAId,1604.0,Convert between cm and mm,How many millimetres are there in \( 1 \) centimetre?,Thinks there are 10 centimetres in 1 mm.
1153,1153,AnswerAText,"Only
Tom",MisconceptionAId,1539.0,Find missing angles in a right-angled triangle,"Tom and Katie are arguing about triangles.
Tom says a triangle can have two right angles.
Katie says only a scalene triangle can have a right angle.
Who is correct?",Does not consider that all three angles in a triangle sum to 180 degrees
1156,1156,AnswerAText,\( 82 \% \),MisconceptionAId,1786.0,Express one quantity as a percentage of another mentally,What is \( 8 \) out of \( 20 \) as a percentage?,Converts a fraction to a percentage by writing the numerator followed by the denominator
